name,address,city,state,zip_code,country,latitude,longitude,searched
"KFC 12118 Meridian Street, East","12118 Meridian Street, East",Puyallup,WA,98373,US,,,True
KFC 2819 E 29th Street,2819 E 29th Street,Spokane,WA,99223,US,,,True
KFC 2006 Sixth Avenue,2006 Sixth Avenue,Tacoma,WA,98403,US,,,True
KFC 7605 Steiliacoom Boulevard,7605 Steiliacoom Boulevard,Tacoma,WA,98498,US,,,True
KFC 2325 S. First Street,2325 S. First Street,Yakima,WA,98903,US,,,True
KFC 1609 West Shawano,1609 West Shawano,Green Bay,WI,54303,US,,,True
KFC 12303 W. 75th Street,12303 W. 75th Street,Kenosha,WI,53142,US,,,True
KFC 5350 Route 60 East,5350 Route 60 East,Huntington,WV,25705,US,,,True
KFC 4158 State Route 34,4158 State Route 34,Hurricane,WV,25526,US,,,True
KFC 5 Clear Mountain Way,5 Clear Mountain Way,Morgantown,WV,26505,US,,,True
KFC 71 Tipple St,71 Tipple St,Morgantown,WV,26501,US,,,True
KFC 930 Seventh Street,930 Seventh Street,Parkersburg,WV,26101,US,,,True
KFC 2 Trace Fork Boulevard,2 Trace Fork Boulevard,South Charleston,WV,25309,US,,,True
